match_id,Year,Round,Host,Date,Attendance,team,adversaire,buts_pour,buts_contre,resultat,est_pays_hote
0,2022,Final,Qatar,2022-12-18,88966,Argentina,France,3,3,nul,False
1,2022,Third-place match,Qatar,2022-12-17,44137,Croatia,Morocco,2,1,victoire,False
2,2022,Semi-finals,Qatar,2022-12-14,68294,France,Morocco,2,0,victoire,False
3,2022,Semi-finals,Qatar,2022-12-13,88966,Argentina,Croatia,3,0,victoire,False
4,2022,Quarter-finals,Qatar,2022-12-10,44198,Morocco,Portugal,1,0,victoire,False
5,2022,Quarter-finals,Qatar,2022-12-10,68895,England,France,1,2,defaite,False
6,2022,Quarter-finals,Qatar,2022-12-09,43893,Croatia,Brazil,1,1,nul,False
7,2022,Quarter-finals,Qatar,2022-12-09,88235,Netherlands,Argentina,2,2,nul,False
8,2022,Round of 16,Qatar,2022-12-06,44667,Morocco,Spain,0,0,nul,False
9,2022,Round of 16,Qatar,2022-12-06,83720,Portugal,Switzerland,6,1,victoire,False
10,2022,Round of 16,Qatar,2022-12-05,42523,Japan,Croatia,1,1,nul,False
11,2022,Round of 16,Qatar,2022-12-05,43847,Brazil,South Korea,4,1,victoire,False
12,2022,Round of 16,Qatar,2022-12-04,40989,France,Poland,3,1,victoire,False
13,2022,Round of 16,Qatar,2022-12-04,65985,England,Senegal,3,0,victoire,False
14,2022,Round of 16,Qatar,2022-12-03,44846,Netherlands,United States,3,1,victoire,False
15,2022,Round of 16,Qatar,2022-12-03,45032,Argentina,Australia,2,1,victoire,False
16,2022,Group stage,Qatar,2022-12-02,44097,South Korea,Portugal,2,1,victoire,False
17,2022,Group stage,Qatar,2022-12-02,43443,Ghana,Uruguay,0,2,defaite,False
18,2022,Group stage,Qatar,2022-12-02,85986,Cameroon,Brazil,1,0,victoire,False
19,2022,Group stage,Qatar,2022-12-02,41378,Serbia,Switzerland,2,3,defaite,False
20,2022,Group stage,Qatar,2022-12-01,43102,Canada,Morocco,1,2,defaite,False
21,2022,Group stage,Qatar,2022-12-01,43984,Croatia,Belgium,0,0,nul,False
22,2022,Group stage,Qatar,2022-12-01,67054,Costa Rica,Germany,2,4,defaite,False
23,2022,Group stage,Qatar,2022-12-01,44851,Japan,Spain,2,1,victoire,False
24,2022,Group stage,Qatar,2022-11-30,41232,Australia,Denmark,1,0,victoire,False
25,2022,Group stage,Qatar,2022-11-30,43627,Tunisia,France,1,0,victoire,False
26,2022,Group stage,Qatar,2022-11-30,84985,Saudi Arabia,Mexico,1,2,defaite,False
27,2022,Group stage,Qatar,2022-11-30,44089,Poland,Argentina,0,2,defaite,False
28,2022,Group stage,Qatar,2022-11-29,44569,Ecuador,Senegal,1,2,defaite,False
29,2022,Group stage,Qatar,2022-11-29,66784,Netherlands,Qatar,2,0,victoire,False
30,2022,Group stage,Qatar,2022-11-29,42127,Iran,United States,0,1,defaite,False
31,2022,Group stage,Qatar,2022-11-29,44297,Wales,England,0,3,defaite,False
32,2022,Group stage,Qatar,2022-11-28,39789,Cameroon,Serbia,3,3,nul,False
33,2022,Group stage,Qatar,2022-11-28,43983,South Korea,Ghana,2,3,defaite,False
34,2022,Group stage,Qatar,2022-11-28,43649,Brazil,Switzerland,1,0,victoire,False
35,2022,Group stage,Qatar,2022-11-28,88668,Portugal,Uruguay,2,0,victoire,False
36,2022,Group stage,Qatar,2022-11-27,41479,Japan,Costa Rica,0,1,defaite,False
37,2022,Group stage,Qatar,2022-11-27,43738,Belgium,Morocco,0,2,defaite,False
38,2022,Group stage,Qatar,2022-11-27,44374,Croatia,Canada,4,1,victoire,False
39,2022,Group stage,Qatar,2022-11-27,68895,Spain,Germany,1,1,nul,False
40,2022,Group stage,Qatar,2022-11-26,41823,Tunisia,Australia,0,1,defaite,False
41,2022,Group stage,Qatar,2022-11-26,44259,Poland,Saudi Arabia,2,0,victoire,False
42,2022,Group stage,Qatar,2022-11-26,42860,France,Denmark,2,1,victoire,False
43,2022,Group stage,Qatar,2022-11-26,88966,Argentina,Mexico,2,0,victoire,False
44,2022,Group stage,Qatar,2022-11-25,40875,Wales,Iran,0,2,defaite,False
45,2022,Group stage,Qatar,2022-11-25,41797,Qatar,Senegal,1,3,defaite,True
46,2022,Group stage,Qatar,2022-11-25,44833,Netherlands,Ecuador,1,1,nul,False
47,2022,Group stage,Qatar,2022-11-25,68463,England,United States,0,0,nul,False
48,2022,Group stage,Qatar,2022-11-24,39089,Switzerland,Cameroon,1,0,victoire,False
49,2022,Group stage,Qatar,2022-11-24,41663,Uruguay,South Korea,0,0,nul,False
50,2022,Group stage,Qatar,2022-11-24,42662,Portugal,Ghana,3,2,victoire,False
51,2022,Group stage,Qatar,2022-11-24,88103,Brazil,Serbia,2,0,victoire,False
52,2022,Group stage,Qatar,2022-11-23,59407,Morocco,Croatia,0,0,nul,False
53,2022,Group stage,Qatar,2022-11-23,42608,Germany,Japan,1,2,defaite,False
54,2022,Group stage,Qatar,2022-11-23,40013,Spain,Costa Rica,7,0,victoire,False
55,2022,Group stage,Qatar,2022-11-23,40432,Belgium,Canada,1,0,victoire,False
56,2022,Group stage,Qatar,2022-11-22,88012,Argentina,Saudi Arabia,1,2,defaite,False
57,2022,Group stage,Qatar,2022-11-22,42925,Denmark,Tunisia,0,0,nul,False
58,2022,Group stage,Qatar,2022-11-22,39369,Mexico,Poland,0,0,nul,False
59,2022,Group stage,Qatar,2022-11-22,40875,France,Australia,4,1,victoire,False
60,2022,Group stage,Qatar,2022-11-21,45334,England,Iran,6,2,victoire,False
61,2022,Group stage,Qatar,2022-11-21,41721,Senegal,Netherlands,0,2,defaite,False
62,2022,Group stage,Qatar,2022-11-21,43418,United States,Wales,1,1,nul,False
63,2022,Group stage,Qatar,2022-11-20,67372,Qatar,Ecuador,0,2,defaite,True
64,2018,Final,Russia,2018-07-15,78011,France,Croatia,4,2,victoire,False
65,2018,Third-place match,Russia,2018-07-14,64406,Belgium,England,2,0,victoire,False
66,2018,Semi-finals,Russia,2018-07-11,78011,Croatia,England,2,1,victoire,False
67,2018,Semi-finals,Russia,2018-07-10,64286,France,Belgium,1,0,victoire,False
68,2018,Quarter-finals,Russia,2018-07-07,39991,Sweden,England,0,2,defaite,False
69,2018,Quarter-finals,Russia,2018-07-07,44287,Russia,Croatia,2,2,nul,True
70,2018,Quarter-finals,Russia,2018-07-06,43319,Uruguay,France,0,2,defaite,False
71,2018,Quarter-finals,Russia,2018-07-06,42873,Brazil,Belgium,1,2,defaite,False
72,2018,Round of 16,Russia,2018-07-03,64042,Sweden,Switzerland,1,0,victoire,False
73,2018,Round of 16,Russia,2018-07-03,44190,Colombia,England,1,1,nul,False
74,2018,Round of 16,Russia,2018-07-02,41970,Brazil,Mexico,2,0,victoire,False
75,2018,Round of 16,Russia,2018-07-02,41466,Belgium,Japan,3,2,victoire,False
76,2018,Round of 16,Russia,2018-07-01,78011,Spain,Russia,1,1,nul,False
77,2018,Round of 16,Russia,2018-07-01,40851,Croatia,Denmark,1,1,nul,False
78,2018,Round of 16,Russia,2018-06-30,42873,France,Argentina,4,3,victoire,False
79,2018,Round of 16,Russia,2018-06-30,44287,Uruguay,Portugal,2,1,victoire,False
80,2018,Group stage,Russia,2018-06-28,42189,Japan,Poland,0,1,defaite,False
81,2018,Group stage,Russia,2018-06-28,41970,Senegal,Colombia,0,1,defaite,False
82,2018,Group stage,Russia,2018-06-28,33973,England,Belgium,0,1,defaite,False
83,2018,Group stage,Russia,2018-06-28,37168,Panama,Tunisia,1,2,defaite,False
84,2018,Group stage,Russia,2018-06-27,41835,South Korea,Germany,2,0,victoire,False
85,2018,Group stage,Russia,2018-06-27,33061,Mexico,Sweden,0,3,defaite,False
86,2018,Group stage,Russia,2018-06-27,43319,Switzerland,Costa Rica,2,2,nul,False
87,2018,Group stage,Russia,2018-06-27,44190,Serbia,Brazil,0,2,defaite,False
88,2018,Group stage,Russia,2018-06-26,44073,Australia,Peru,0,2,defaite,False
89,2018,Group stage,Russia,2018-06-26,78011,Denmark,France,0,0,nul,False
90,2018,Group stage,Russia,2018-06-26,43472,Iceland,Croatia,1,2,defaite,False
91,2018,Group stage,Russia,2018-06-26,64468,Nigeria,Argentina,1,2,defaite,False
92,2018,Group stage,Russia,2018-06-25,36823,Saudi Arabia,Egypt,2,1,victoire,False
93,2018,Group stage,Russia,2018-06-25,41970,Uruguay,Russia,3,0,victoire,False
94,2018,Group stage,Russia,2018-06-25,33973,Spain,Morocco,2,2,nul,False
95,2018,Group stage,Russia,2018-06-25,41685,Iran,Portugal,1,1,nul,False
96,2018,Group stage,Russia,2018-06-24,43319,England,Panama,6,1,victoire,False
97,2018,Group stage,Russia,2018-06-24,32572,Japan,Senegal,2,2,nul,False
98,2018,Group stage,Russia,2018-06-24,42873,Poland,Colombia,0,3,defaite,False
99,2018,Group stage,Russia,2018-06-23,44190,Belgium,Tunisia,5,2,victoire,False
