country,annee_cdm,etapes_max,market_value_in_eur,valeur_M
Algeria,2010,1,43000000,43.0
Algeria,2014,2,105525000,105.525
Angola,2006,1,4650000,4.65
Argentina,2006,3,259800000,259.8
Argentina,2010,3,950400000,950.4
Argentina,2014,5,1100425000,1100.425
Argentina,2018,2,1780150000,1780.15
Argentina,2022,5,1506295000,1506.295
Australia,2006,2,6130000,6.13
Australia,2010,1,27700000,27.7
Australia,2014,1,42100000,42.1
Australia,2018,1,79200000,79.2
Australia,2022,2,76525000,76.525
Belgium,2014,3,652075000,652.075
Belgium,2018,4,1157675000,1157.675
Belgium,2022,1,1148895000,1148.895
Bosnia and Herzegovina,2014,1,139300000,139.3
Brazil,2006,3,365750000,365.75
Brazil,2010,3,1241275000,1241.275
Brazil,2014,4,1708725000,1708.725
Brazil,2018,3,2880875000,2880.875
Brazil,2022,3,3380695000,3380.695
Cameroon,2010,1,181150000,181.15
Cameroon,2014,1,180475000,180.475
Cameroon,2022,1,278375000,278.375
Canada,2022,1,180600000,180.6
Chile,2010,2,93950000,93.95
Chile,2014,2,177875000,177.875
Colombia,2014,3,323475000,323.475
Colombia,2018,2,396275000,396.275
Costa Rica,2006,1,1300000,1.3
Costa Rica,2014,3,37975000,37.975
Costa Rica,2018,1,41550000,41.55
Costa Rica,2022,1,25300000,25.3
Croatia,2006,1,58225000,58.225
Croatia,2014,1,312825000,312.825
Croatia,2018,5,572025000,572.025
Croatia,2022,4,659925000,659.925
Czechia,2006,1,87725000,87.725
Denmark,2010,1,218075000,218.075
Denmark,2018,2,501725000,501.725
Denmark,2022,1,781975000,781.975
Ecuador,2006,2,2650000,2.65
Ecuador,2014,1,45250000,45.25
Ecuador,2022,1,154425000,154.425
Egypt,2018,1,200275000,200.275
England,2006,3,599975000,599.975
England,2010,2,1058050000,1058.05
England,2014,1,1117610000,1117.61
England,2018,4,2443875000,2443.875
England,2022,3,4097620000,4097.62
France,2006,5,476980000,476.98
France,2010,1,1216830000,1216.83
France,2014,3,1329150000,1329.15
France,2018,5,2920400000,2920.4
France,2022,5,3707690000,3707.69
Germany,2006,4,238925000,238.925
Germany,2010,4,738000000,738.0
Germany,2014,5,1449700000,1449.7
Germany,2018,1,2325450000,2325.45
Germany,2022,1,2259835000,2259.835
Ghana,2006,2,52650000,52.65
Ghana,2010,3,103575000,103.575
Ghana,2014,1,154075000,154.075
Ghana,2022,1,351370000,351.37
Greece,2010,1,215350000,215.35
Greece,2014,2,275800000,275.8
Honduras,2010,1,23150000,23.15
Honduras,2014,1,15550000,15.55
Iceland,2018,1,87775000,87.775
Iran,2006,1,800000,0.8
Iran,2014,1,15675000,15.675
Iran,2018,1,56275000,56.275
Iran,2022,1,66900000,66.9
Italy,2006,5,611405000,611.405
Italy,2010,1,1165875000,1165.875
Italy,2014,1,1245950000,1245.95
Japan,2006,1,2100000,2.1
Japan,2010,2,46700000,46.7
Japan,2014,1,118325000,118.325
Japan,2018,2,135275000,135.275
Japan,2022,2,251800000,251.8
Mexico,2006,2,21500000,21.5
Mexico,2010,2,58100000,58.1
Mexico,2014,2,114400000,114.4
Mexico,2018,2,188300000,188.3
Mexico,2022,1,208150000,208.15
Morocco,2018,1,286925000,286.925
Morocco,2022,4,462025000,462.025
Netherlands,2006,2,223675000,223.675
Netherlands,2010,5,488700000,488.7
Netherlands,2014,4,637775000,637.775
Netherlands,2022,3,1534510000,1534.51
New Zealand,2010,1,7350000,7.35
Nigeria,2010,1,154550000,154.55
Nigeria,2014,2,200650000,200.65
Nigeria,2018,1,291350000,291.35
Panama,2018,1,3025000,3.025
Paraguay,2006,1,9875000,9.875
Paraguay,2010,3,53500000,53.5
Peru,2018,1,46625000,46.625
Poland,2006,1,30075000,30.075
Poland,2018,1,356275000,356.275
Poland,2022,2,411360000,411.36
Portugal,2006,4,245400000,245.4
Portugal,2010,2,548900000,548.9
Portugal,2014,1,744950000,744.95
Portugal,2018,2,1194575000,1194.575
Portugal,2022,3,2049950000,2049.95
Qatar,2022,1,14675000,14.675
Russia,2014,1,539250000,539.25
Russia,2018,3,581150000,581.15
Saudi Arabia,2018,1,5300000,5.3
Saudi Arabia,2022,1,6825000,6.825
Senegal,2018,1,486660000,486.66
Senegal,2022,2,475335000,475.335
Serbia,2010,1,271850000,271.85
Serbia,2018,1,528825000,528.825
Serbia,2022,1,585800000,585.8
Slovakia,2010,2,91575000,91.575
Slovenia,2010,1,33000000,33.0
South Africa,2010,1,14100000,14.1
Spain,2006,2,530200000,530.2
Spain,2010,5,1547550000,1547.55
Spain,2014,1,2072575000,2072.575
Spain,2018,2,3464775000,3464.775
Spain,2022,2,3641070000,3641.07
Sweden,2006,2,65660000,65.66
Sweden,2018,3,249540000,249.54
Switzerland,2006,2,32075000,32.075
Switzerland,2010,1,106850000,106.85
Switzerland,2014,2,241150000,241.15
Switzerland,2018,2,343675000,343.675
Switzerland,2022,2,398750000,398.75
Togo,2006,1,12650000,12.65
Trinidad and Tobago,2006,1,1050000,1.05
Tunisia,2006,1,9425000,9.425
Tunisia,2018,1,86850000,86.85
Tunisia,2022,1,89100000,89.1
Ukraine,2006,3,31350000,31.35
United States,2006,1,20500000,20.5
United States,2010,2,58350000,58.35
United States,2014,2,76300000,76.3
United States,2022,2,445550000,445.55
Uruguay,2010,4,164450000,164.45
Uruguay,2014,2,311850000,311.85
Uruguay,2018,3,505175000,505.175
Uruguay,2022,1,615460000,615.46
Wales,2022,1,216950000,216.95
